time,cont,conterr
-2.0,2.0,0.016
-1.1149900336895247,-0.6355475763016287,0.012
-1.0467469233932096,-1.030520646319581,0.012
-0.6911040748894657,-0.21903052064633277,0.012
-0.6910160573480641,-0.6642728904847623,0.012
-0.6887308904011,-0.8797127468581745,0.012
-0.6275112751332477,-0.16157989228009106,0.012
-0.6263521169201425,-0.20466786355477873,0.012
-0.6155550871577999,0.5206463195690945,0.013
-0.5831761264612396,0.017953321364448716,0.012
-0.5569166797178873,-0.4416517055655347,0.014
-0.5520975199846321,-0.4775583482944581,0.012
-0.5508973671356918,-0.5996409335727308,0.012
-0.23474549745644757,-0.3482944344703953,0.013
-0.23348942219856772,-0.06104129263913638,0.012
-0.22751596169265587,0.0466786355475568,0.012
-0.22630006929564872,-0.15439856373430128,0.012
-0.20243723683561554,-0.2621184919210202,0.012
-0.19407573732012384,-0.09694793536805979,0.012
-0.19401063440878463,0.03949730700179277,0.012
0.19395204010738176,-0.7217235188510038,0.012
0.19519993877391562,-0.9228007181328621,0.011
0.19636505560740547,-0.9299820466786519,0.012
0.19873075159178333,-0.822262118491933,0.012
0.2250923835112526,-0.9946140035906577,0.011
0.22629886244085506,-1.030520646319581,0.012
0.2274891923323561,-0.9802513464991036,0.011
0.25983030702319665,-0.6786355475763162,0.012
0.6286502626597756,-0.04667863554758234,0.018
0.6311118693761819,-0.2980251346499181,0.012
0.6478862143746738,-0.3554757630161596,0.014
0.650238072958242,-0.2621184919210202,0.012
0.6575004207622674,0.032315978456028294,0.019
0.6598385344105231,-0.22621184919209703,0.023
0.6622999525933913,-0.13285457809695767,0.012
0.6670447796780277,-0.06822262118492617,0.017
0.6789999217126477,0.05385996409334659,0.02
0.6814030253922971,0.15439856373427574,0.015
0.6873926229278005,0.6211849192100494,0.015
0.7256670164645223,-0.6140035906642849,0.013
1.044185200566182,-0.8725314183124102,0.012
1.0514061910774997,-1.0233393177737913,0.011
1.0573589237021768,-0.9156193895870979,0.013
1.0585489245606312,-0.6929982046678702,0.016
1.0657557186168276,-1.0017953321364474,0.026
1.0706087591473041,-0.9156193895870723,0.014
1.0718147169077685,-0.8509874326750666,0.013
1.072967274045432,-1.3105924596050502,0.013
1.0742154152837786,-1.0377019748653709,0.013
1.0766208318015704,-0.9515260323159955,0.013
1.0802461179333696,-1.2459605026930187,0.012
1.0933796498025434,-0.9084380610413081,0.021
1.1005661975185879,-1.3536804308797121,0.023
1.1006610779208512,-1.3824057450628457,0.028
1.1017842394380697,-1.4398563734290872,0.02
1.1029414474698878,-1.0161579892280015,0.02
1.1030626973492246,-1.2244165170556496,0.02
1.104252908356517,-1.1095152603231664,0.017
1.1065579625893216,-1.1885098743267517,0.015
1.106651579696805,-1.0879712746858226,0.019
1.1077395514897135,-1.2315978456014394,0.015
1.1089654914032172,-0.9587073608617598,0.015
1.1090604522624594,-1.4254937163375332,0.015
1.110243022257754,-1.1238779174147204,0.014
1.1125296002040943,-1.2100538599640953,0.011
1.1137248763989795,-1.3895870736086353,0.012
1.114927563042567,-1.1095152603231664,0.012
1.1162339959679737,-1.3824057450628457,0.012
1.119802808500439,-1.1526032315978794,0.013
1.1209410599055794,-1.0592459605026892,0.011
1.1221943191689348,-1.296229802513496,0.013
1.1257506356506473,-1.224416517055675,0.023
1.128145481081103,-1.339317773788158,0.023
1.129282714164988,-2.0,0.031
1.1294152388300813,-1.0951526032316123,0.043
1.1365543865734833,-1.4183123877917434,0.026
1.137772898025529,-1.253141831238783,0.023
1.1401659097572052,-1.1597845601436436,0.015
1.1413563237082465,-1.1310592459605102,0.015
1.1437845107540392,-1.2387791741472292,0.014
1.1449576192478905,-1.4757630161580106,0.012
1.1497437135614401,-1.217235188509885,0.013
1.1509458658265386,-1.3034111310592604,0.013
1.4752776183851273,-1.4757630161580106,0.027
1.492101630562086,-1.1885098743267772,0.021
1.4981213706470706,-1.5619389587073602,0.016
1.5005035675187641,-1.7773788150807979,0.022
1.5017366116640836,-1.6193895870736017,0.019
1.5052813003099823,-1.6193895870736272,0.023
1.5113270111896568,-1.3034111310592347,0.016
1.5137474659588057,-1.4254937163375332,0.015
1.516057640618321,-1.2890484739677062,0.015
1.5161470043131913,-1.4039497307001896,0.017
1.5172603909069826,-1.497307001795329,0.02
1.5185368602096379,-1.4829443447037747,0.021
1.519653481894804,-1.432675044883323,0.021
1.5197530107895205,-1.4183123877917434,0.023
1.5281375918532953,-1.3177737881508143,0.02
1.529305973799417,-1.4829443447037747,0.029
1.5341688360864811,-1.662477558348315,0.018
1.535347622201709,-1.5834829443447038,0.035
1.5389581558845893,-1.7271095152603206,0.028
1.5413063338612374,-1.4757630161580106,0.018
1.5473634696329848,-1.3464991023339223,0.022
1.5496516375054497,-1.5547576301615704,0.019
1.5532716086727456,-1.7127468581687666,0.017
1.5545150990169372,-1.5116696588869083,0.02
1.564110979224401,-1.7845601436265621,0.022
1.5652640575312011,-1.375224416517056,0.032
1.5724761329280827,-1.7701974865350336,0.021
1.576071808487196,-1.4542190305206413,0.019
1.5784868198008253,-1.4326750448832977,0.028
1.5796802202671647,-1.360861759425502,0.023
1.5820776799492555,-1.5116696588869083,0.024
1.5868620114142056,-1.3105924596050245,0.017
1.9208131112015732,-1.5834829443447038,0.022
1.923219512416812,-1.8204667863554855,0.016
1.933977137469435,-1.7845601436265877,0.02
1.935174995492988,-1.9353680430879687,0.025
1.9400412309692343,-1.7414721723519002,0.017
1.9436206698281442,-1.9281867145422045,0.029
1.9568472411956965,-1.5260323159784623,0.022
1.962857741936603,-1.913824057450625,0.022
1.9640344457769916,-1.7701974865350336,0.03
1.9676583845544795,-1.461400359066431,0.02
1.9688528261582343,-1.447037701974877,0.02
1.9700607016770189,-1.6409335727109455,0.016
1.9712596969060368,-1.4685816876122209,0.023
1.9736541004235004,-1.8707360861759375,0.022
1.9748650633290286,-1.7342908438061104,0.02
1.9760602386524684,-1.447037701974877,0.027
1.988065271223753,-1.6122082585278374,0.03
1.9904390357229351,-1.3680430879712662,0.034
1.9927640300790044,-1.791741472172352,0.019
1.9963724202436648,-1.7199281867145308,0.022
2.0,-1.4183123877917692,0.021
